"","continent","date","values"
"1","Asia","2/24/2020",25
"2","Asia","2/25/2020",26
"3","Asia","2/26/2020",27
"4","Asia","2/27/2020",27
"5","Asia","2/28/2020",27
"6","Asia","2/29/2020",28
"7","Asia","3/1/2020",29
"8","Asia","3/2/2020",31
"9","Asia","3/3/2020",33
"10","Asia","3/4/2020",33
"11","Asia","3/5/2020",34
"12","Asia","3/6/2020",35
"13","Asia","3/7/2020",35
"14","Asia","3/8/2020",36
"15","Asia","3/9/2020",37
"16","Asia","3/10/2020",38
"17","Asia","3/11/2020",39
"18","Asia","3/12/2020",39
"19","Asia","3/13/2020",40
"20","Asia","3/14/2020",40
"21","Asia","3/15/2020",41
"22","Asia","3/16/2020",41
"23","Asia","3/17/2020",41
"24","Asia","3/18/2020",42
"25","Asia","3/19/2020",42
"26","Asia","3/20/2020",42
"27","Asia","3/21/2020",42
"28","Asia","3/22/2020",44
"29","Asia","3/23/2020",44
"30","Asia","3/24/2020",45
"31","Asia","3/25/2020",45
"32","Asia","3/26/2020",45
"33","Asia","3/27/2020",46
"34","Asia","3/28/2020",46
"35","Asia","3/29/2020",46
"36","Asia","3/30/2020",46
"37","Asia","3/31/2020",46
"38","Asia","4/1/2020",46
"39","Asia","4/2/2020",46
"40","Asia","4/3/2020",46
"41","Asia","4/4/2020",46
"42","Asia","4/5/2020",46
"43","Asia","4/6/2020",46
"44","Asia","4/7/2020",46
"45","Asia","4/8/2020",46
"46","Asia","4/9/2020",46
"47","Asia","4/10/2020",47
"48","Asia","4/11/2020",47
"49","Asia","4/12/2020",47
"50","Asia","4/13/2020",47
"51","Asia","4/14/2020",47
"52","Asia","4/15/2020",47
"53","Asia","4/16/2020",47
"54","Asia","4/17/2020",47
"55","Asia","4/18/2020",47
"56","Asia","4/19/2020",47
"57","Asia","4/20/2020",47
"58","Asia","4/21/2020",47
"59","Asia","4/22/2020",47
"60","Asia","4/23/2020",47
"61","Asia","4/24/2020",47
"62","Asia","4/25/2020",47
"63","Asia","4/26/2020",47
"64","Asia","4/27/2020",47
"65","Asia","4/28/2020",47
"66","Asia","4/29/2020",47
"67","Asia","4/30/2020",47
"68","Asia","5/1/2020",48
"69","Asia","5/2/2020",48
"70","Asia","5/3/2020",48
"71","Asia","5/4/2020",48
"72","Asia","5/5/2020",48
"73","Asia","5/6/2020",48
"74","Asia","5/7/2020",48
"75","Asia","5/8/2020",48
"76","Asia","5/9/2020",48
"77","Asia","5/10/2020",48
"78","Asia","5/11/2020",48
"79","Asia","5/12/2020",48
"80","Asia","5/13/2020",48
"81","Asia","5/14/2020",48
"82","Asia","5/15/2020",48
"83","Asia","5/16/2020",48
"84","Asia","5/17/2020",48
"85","Asia","5/18/2020",48
"86","Asia","5/19/2020",48
"87","Asia","5/20/2020",48
"88","Asia","5/21/2020",48
"89","Asia","5/22/2020",48
"90","Asia","5/23/2020",48
"91","Asia","5/24/2020",48
"92","Asia","5/25/2020",48
"93","Asia","5/26/2020",48
"94","Asia","5/27/2020",48
"95","Asia","5/28/2020",48
"96","Asia","5/29/2020",48
"97","Asia","5/30/2020",48
"98","Asia","5/31/2020",48
"99","Asia","6/1/2020",48
"100","Asia","6/2/2020",48
"101","Asia","6/3/2020",48
"102","Asia","6/4/2020",48
"103","Asia","6/5/2020",48
"104","Asia","6/6/2020",48
"105","Asia","6/7/2020",48
"106","Asia","6/8/2020",48
"107","Asia","6/9/2020",48
"108","Asia","6/10/2020",48
"109","Asia","6/11/2020",48
"110","Asia","6/12/2020",48
"111","Asia","6/13/2020",48
"112","Asia","6/14/2020",48
"113","Asia","6/15/2020",48
"114","Asia","6/16/2020",48
"115","Asia","6/17/2020",48
"116","Asia","6/18/2020",48
"117","Asia","6/19/2020",48
"118","Asia","6/20/2020",48
"119","Asia","6/21/2020",48
"120","Asia","6/22/2020",48
"121","Asia","6/23/2020",48
"122","Asia","6/24/2020",48
"123","Asia","6/25/2020",48
"124","Asia","6/26/2020",48
"125","Asia","6/27/2020",48
"126","Asia","6/28/2020",48
"127","Asia","6/29/2020",48
"128","Asia","6/30/2020",48
"129","Asia","7/1/2020",48
"130","Asia","7/2/2020",48
"131","Asia","7/3/2020",48
"132","Asia","7/4/2020",48
"133","Asia","7/5/2020",48
"134","Asia","7/6/2020",48
"135","Asia","7/7/2020",48
"136","Asia","7/8/2020",48
"137","Asia","7/9/2020",48
"138","Asia","7/10/2020",48
"139","Asia","7/11/2020",48
"140","Asia","7/12/2020",48
"141","Asia","7/13/2020",48
"142","Asia","7/14/2020",48
"143","Asia","7/15/2020",48
"144","Asia","7/16/2020",48
"145","Asia","7/17/2020",48
"146","Asia","7/18/2020",48
"147","Asia","7/19/2020",48
"148","Asia","7/20/2020",48
"149","Asia","7/21/2020",48
"150","Asia","7/22/2020",48
"151","Asia","7/23/2020",48
"152","Asia","7/24/2020",48
"153","Asia","7/25/2020",48
"154","Asia","7/26/2020",48
"155","Asia","7/27/2020",48
"156","Asia","7/28/2020",48
"157","Asia","7/29/2020",48
"158","Asia","7/30/2020",48
"159","Asia","7/31/2020",48
"160","Asia","8/1/2020",48
"161","Asia","8/2/2020",48
"162","Asia","8/3/2020",48
"163","Asia","8/4/2020",48
"164","Asia","8/5/2020",48
"165","Asia","8/6/2020",48
"166","Asia","8/7/2020",48
"167","Asia","8/8/2020",48
"168","Asia","8/9/2020",48
"169","Asia","8/10/2020",48
"170","Asia","8/11/2020",48
"171","Asia","8/12/2020",48
"172","Asia","8/13/2020",48
"173","Asia","8/14/2020",48
"174","Asia","8/15/2020",48
"175","Asia","8/16/2020",48
"176","Asia","8/17/2020",48
"177","Asia","8/18/2020",48
"178","Asia","8/19/2020",48
"179","Asia","8/20/2020",48
"180","Asia","8/21/2020",48
"181","Asia","8/22/2020",48
"182","Asia","8/23/2020",48
"183","Asia","8/24/2020",48
"184","Asia","8/25/2020",48
"185","Asia","8/26/2020",48
"186","Asia","8/27/2020",48
"187","Asia","8/28/2020",48
"188","Asia","8/29/2020",48
"189","Asia","8/30/2020",48
"190","Asia","8/31/2020",48
"191","Asia","9/1/2020",48
"192","Asia","9/2/2020",48
"193","Asia","9/3/2020",48
"194","Asia","9/4/2020",48
"195","Asia","9/5/2020",48
"196","Asia","9/6/2020",48
"197","Asia","9/7/2020",48
