"","continent","date","values"
"2387","Africa","9/7/2020",55
"2388","Africa","9/8/2020",55
"2389","Africa","9/9/2020",55
"2390","Africa","9/10/2020",55
"2391","Africa","9/11/2020",55
"2392","Africa","9/12/2020",55
"2393","Africa","9/13/2020",55
"2394","Africa","9/14/2020",55
"2395","Africa","9/15/2020",55
"2396","Africa","9/16/2020",55
"2397","Africa","9/17/2020",55
"2398","Africa","9/18/2020",55
"2399","Africa","9/19/2020",55
"2400","Africa","9/20/2020",55
"2401","Africa","9/21/2020",55
"2402","Africa","9/22/2020",55
"2403","Africa","9/23/2020",55
"2404","Africa","9/24/2020",55
"2405","Africa","9/25/2020",55
"2406","Africa","9/26/2020",55
"2407","Africa","9/27/2020",55
"2408","Africa","9/28/2020",55
"2409","Africa","9/29/2020",55
"2410","Africa","9/30/2020",55
"2411","Africa","10/1/2020",55
"2412","Africa","10/2/2020",55
"2413","Africa","10/3/2020",55
"2414","Africa","10/4/2020",55
"2415","Africa","10/5/2020",55
"2416","Africa","10/6/2020",55
"2417","Africa","10/7/2020",55
"2418","Africa","10/8/2020",55
"2419","Africa","10/9/2020",55
"2420","Africa","10/10/2020",55
"2421","Africa","10/11/2020",55
"2422","Africa","10/12/2020",55
"2423","Africa","10/13/2020",55
"2424","Africa","10/14/2020",55
"2425","Africa","10/15/2020",55
"2426","Africa","10/16/2020",55
"2427","Africa","10/17/2020",55
"2428","Africa","10/18/2020",55
"2429","Africa","10/19/2020",55
"2430","Africa","10/20/2020",55
"2431","Africa","10/21/2020",55
"2432","Africa","10/22/2020",55
"2433","Africa","10/23/2020",55
"2434","Africa","10/24/2020",55
"2435","Africa","10/25/2020",55
"2436","Africa","10/26/2020",55
"2437","Africa","10/27/2020",55
"2438","Africa","10/28/2020",55
"2439","Africa","10/29/2020",55
"2440","Africa","10/30/2020",55
"2441","Africa","10/31/2020",55
"2442","Africa","11/1/2020",55
"2443","Africa","11/2/2020",55
"2444","Africa","11/3/2020",55
"2445","Africa","11/4/2020",55
"2446","Africa","11/5/2020",55
"2447","Africa","11/6/2020",55
"2448","Africa","11/7/2020",55
"2449","Africa","11/8/2020",55
"2450","Africa","11/9/2020",55
"2451","Africa","11/10/2020",55
"2452","Africa","11/11/2020",55
"2453","Africa","11/12/2020",55
"2454","Africa","11/13/2020",55
"2455","Africa","11/14/2020",55
"2456","Africa","11/15/2020",55
"2457","Africa","11/16/2020",55
"2458","Africa","11/17/2020",55
"2459","Africa","11/18/2020",55
"2460","Africa","11/19/2020",55
"2461","Africa","11/20/2020",55
"2462","Africa","11/21/2020",55
"2463","Africa","11/22/2020",55
"2464","Africa","11/23/2020",55
"2465","Africa","11/24/2020",55
"2466","Africa","11/25/2020",55
"2467","Africa","11/26/2020",55
"2468","Africa","11/27/2020",55
"2469","Africa","11/28/2020",55
"2470","Africa","11/29/2020",55
"2471","Africa","11/30/2020",55
"2472","Africa","12/1/2020",55
"2473","Africa","12/2/2020",55
"2474","Africa","12/3/2020",55
"2475","Africa","12/4/2020",55
"2476","Africa","12/5/2020",55
"2477","Africa","12/6/2020",55
"2478","Africa","12/7/2020",55
"2479","Africa","12/8/2020",55
"2480","Africa","12/9/2020",55
"2481","Africa","12/10/2020",55
"2482","Africa","12/11/2020",55
"2483","Africa","12/12/2020",55
"2484","Africa","12/13/2020",55
"2485","Africa","12/14/2020",55
"2486","Africa","12/15/2020",55
"2487","Africa","12/16/2020",55
"2488","Africa","12/17/2020",55
"2489","Africa","12/18/2020",55
"2490","Africa","12/19/2020",55
"2491","Africa","12/20/2020",55
"2492","Africa","12/21/2020",55
"2493","Africa","12/22/2020",55
"2494","Africa","12/23/2020",55
"2495","Africa","12/24/2020",55
"2496","Africa","12/25/2020",55
"2497","Africa","12/26/2020",55
"2498","Africa","12/27/2020",55
"2499","Africa","12/28/2020",55
"2500","Africa","12/29/2020",55
"2501","Africa","12/30/2020",55
"2502","Africa","12/31/2020",55
"2503","Africa","1/1/2021",55
"2504","Africa","1/2/2021",55
"2505","Africa","1/3/2021",55
"2506","Africa","1/4/2021",55
"2507","Africa","1/5/2021",55
"2508","Africa","1/6/2021",55
"2509","Africa","1/7/2021",55
"2510","Africa","1/8/2021",55
"2511","Africa","1/9/2021",55
"2512","Africa","1/10/2021",55
"2513","Africa","1/11/2021",55
"2514","Africa","1/12/2021",55
"2515","Africa","1/13/2021",55
"2516","Africa","1/14/2021",55
"2517","Africa","1/15/2021",55
"2518","Africa","1/16/2021",55
"2519","Africa","1/17/2021",55
"2520","Africa","1/18/2021",55
"2521","Africa","1/19/2021",55
"2522","Africa","1/20/2021",55
"2523","Africa","1/21/2021",55
"2524","Africa","1/22/2021",55
"2525","Africa","1/23/2021",55
"2526","Africa","1/24/2021",55
"2527","Africa","1/25/2021",55
"2528","Africa","1/26/2021",55
"2529","Africa","1/27/2021",55
"2530","Africa","1/28/2021",55
"2531","Africa","1/29/2021",55
"2532","Africa","1/30/2021",55
"2533","Africa","1/31/2021",55
"2534","Africa","2/1/2021",55
"2535","Africa","2/2/2021",55
"2536","Africa","2/3/2021",55
"2537","Africa","2/4/2021",55
"2538","Africa","2/5/2021",55
"2539","Africa","2/6/2021",55
"2540","Africa","2/7/2021",55
"2541","Africa","2/8/2021",55
"2542","Africa","2/9/2021",55
"2543","Africa","2/10/2021",55
"2544","Africa","2/11/2021",55
"2545","Africa","2/12/2021",55
"2546","Africa","2/13/2021",55
"2547","Africa","2/14/2021",55
"2548","Africa","2/15/2021",55
"2549","Africa","2/16/2021",55
"2550","Africa","2/17/2021",55
"2551","Africa","2/18/2021",55
"2552","Africa","2/19/2021",55
"2553","Africa","2/20/2021",55
"2554","Africa","2/21/2021",55
"2555","Africa","2/22/2021",55
"2556","Africa","2/23/2021",55
"2557","Africa","2/24/2021",55
"2558","Africa","2/25/2021",55
"2559","Africa","2/26/2021",55
"2560","Africa","2/27/2021",55
"2561","Africa","2/28/2021",55
"2562","Africa","3/1/2021",55
"2563","Africa","3/2/2021",55
"2564","Africa","3/3/2021",55
"2565","Africa","3/4/2021",55
"2566","Africa","3/5/2021",55
"2567","Africa","3/6/2021",55
"2568","Africa","3/7/2021",55
"2569","Africa","3/8/2021",55
"2570","Africa","3/9/2021",55
"2571","Africa","3/10/2021",55
"2572","Africa","3/11/2021",55
"2573","Africa","3/12/2021",55
"2574","Africa","3/13/2021",55
"2575","Africa","3/14/2021",55
"2576","Africa","3/15/2021",55
"2577","Africa","3/16/2021",55
"2578","Africa","3/17/2021",55
"2579","Africa","3/18/2021",55
"2580","Africa","3/19/2021",55
"2581","Africa","3/20/2021",55
"2582","Africa","3/21/2021",55
"2583","Africa","3/22/2021",55
"2584","Africa","3/23/2021",55
"2585","Africa","3/24/2021",55
"2586","Africa","3/25/2021",55
"2587","Africa","3/26/2021",55
"2588","Africa","3/27/2021",55
"2589","Africa","3/28/2021",55
"2590","Africa","3/29/2021",55
"2591","Africa","3/30/2021",55
"2592","Africa","3/31/2021",55
