"","iso_code","location"
"728","OWID_AFR","Africa"
"7981","OWID_ASI","Asia"
"48373","OWID_EUR","Europe"
"49132","OWID_EUN","European Union"
"64661","OWID_HIC","High income"
"69805","OWID_INT","International"
"79144","OWID_KOS","Kosovo"
"86947","OWID_LIC","Low income"
"87675","OWID_LMC","Lower middle income"
"109153","OWID_NAM","North America"
"110638","OWID_CYN","Northern Cyprus"
"111681","OWID_OCE","Oceania"
"136031","OWID_SAM","South America"
"154929","OWID_UMC","Upper middle income"
"160244","OWID_WRL","World"
