"","locations","values"
"1","Afghanistan",727
"2","Africa",738
"3","Albania",726
"4","Algeria",726
"5","Andorra",720
"6","Angola",702
"7","Anguilla",694
"8","Antigua and Barbuda",709
"9","Argentina",781
"10","Armenia",748
"11","Aruba",709
"12","Asia",760
"13","Australia",756
"14","Austria",726
"15","Azerbaijan",721
"16","Bahamas",706
"17","Bahrain",727
"18","Bangladesh",719
"19","Barbados",705
"20","Belarus",723
"21","Belgium",747
"22","Belize",699
"23","Benin",706
"24","Bermuda",703
"25","Bhutan",716
"26","Bolivia",711
"27","Bonaire Sint Eustatius and Saba",689
"28","Bosnia and Herzegovina",717
"29","Botswana",692
"30","Brazil",725
"31","British Virgin Islands",694
"32","Brunei",713
"33","Bulgaria",714
"34","Burkina Faso",712
"35","Burundi",691
"36","Cambodia",755
"37","Cameroon",716
"38","Canada",756
"39","Cape Verde",702
"40","Cayman Islands",709
"41","Central African Republic",707
"42","Chad",703
"43","Chile",728
"44","China",760
"45","Colombia",716
"46","Comoros",661
"47","Congo",707
"48","Cook Islands",275
"49","Costa Rica",716
"50","Cote d'Ivoire",711
"51","Croatia",726
"52","Cuba",710
"53","Curacao",708
"54","Cyprus",714
"55","Czechia",721
"56","Democratic Republic of Congo",711
"57","Denmark",749
"58","Djibouti",704
"59","Dominica",700
"60","Dominican Republic",721
"61","Ecuador",721
"62","Egypt",737
"63","El Salvador",703
"64","Equatorial Guinea",707
"65","Eritrea",701
"66","Estonia",748
"67","Eswatini",708
"68","Ethiopia",709
"69","Europe",759
"70","European Union",759
"71","Faeroe Islands",718
"72","Falkland Islands",687
"73","Fiji",752
"74","Finland",753
"75","France",758
"76","French Polynesia",709
"77","Gabon",708
"78","Gambia",705
"79","Georgia",725
"80","Germany",755
"81","Ghana",708
"82","Gibraltar",718
"83","Greece",728
"84","Greenland",706
"85","Grenada",700
"86","Guatemala",734
"87","Guernsey",388
"88","Guinea",709
"89","Guinea-Bissau",697
"90","Guyana",710
"91","Haiti",702
"92","High income",760
"93","Honduras",711
"94","Hong Kong",759
"95","Hungary",719
"96","Iceland",723
"97","India",752
"98","Indonesia",720
"99","International",744
"100","Iran",732
"101","Iraq",727
"102","Ireland",722
"103","Isle of Man",702
"104","Israel",731
"105","Italy",751
"106","Jamaica",711
"107","Japan",760
"108","Jersey",337
"109","Jordan",719
"110","Kazakhstan",709
"111","Kenya",716
"112","Kiribati",278
"113","Kosovo",708
"114","Kuwait",727
"115","Kyrgyzstan",704
"116","Laos",698
"117","Latvia",725
"118","Lebanon",730
"119","Lesotho",648
"120","Liberia",705
"121","Libya",718
"122","Liechtenstein",718
"123","Lithuania",722
"124","Low income",728
"125","Lower middle income",760
"126","Luxembourg",727
"127","Macao",760
"128","Madagascar",702
"129","Malawi",693
"130","Malaysia",758
"131","Maldives",714
"132","Mali",697
"133","Malta",717
"134","Marshall Islands",480
"135","Mauritania",708
"136","Mauritius",704
"137","Mexico",781
"138","Micronesia (country)",395
"139","Moldova",714
"140","Monaco",722
"141","Mongolia",712
"142","Montenegro",705
"143","Montserrat",704
"144","Morocco",744
"145","Mozambique",700
"146","Myanmar",695
"147","Namibia",708
"148","Nauru",286
"149","Nepal",757
"150","Netherlands",724
"151","New Caledonia",703
"152","New Zealand",723
"153","Nicaragua",703
"154","Niger",702
"155","Nigeria",723
"156","Niue",157
"157","North America",760
"158","North Macedonia",725
"159","Northern Cyprus",317
"160","Norway",726
"161","Oceania",757
"162","Oman",727
"163","Pakistan",726
"164","Palau",182
"165","Palestine",717
"166","Panama",713
"167","Papua New Guinea",702
"168","Paraguay",715
"169","Peru",716
"170","Philippines",752
"171","Pitcairn",85
"172","Poland",718
"173","Portugal",721
"174","Qatar",722
"175","Romania",725
"176","Russia",751
"177","Rwanda",708
"178","Saint Helena",531
"179","Saint Kitts and Nevis",697
"180","Saint Lucia",708
"181","Saint Pierre and Miquelon",686
"182","Saint Vincent and the Grenadines",708
"183","Samoa",459
"184","San Marino",722
"185","Sao Tome and Principe",685
"186","Saudi Arabia",720
"187","Senegal",723
"188","Serbia",725
"189","Seychelles",707
"190","Sierra Leone",691
"191","Singapore",759
"192","Sint Maarten (Dutch part)",281
"193","Slovakia",716
"194","Slovenia",749
"195","Solomon Islands",496
"196","Somalia",706
"197","South Africa",744
"198","South America",729
"199","South Korea",760
"200","South Sudan",686
"201","Spain",750
"202","Sri Lanka",755
"203","Sudan",709
"204","Suriname",708
"205","Sweden",750
"206","Switzerland",726
"207","Syria",700
"208","Taiwan",766
"209","Tajikistan",660
"210","Tanzania",706
"211","Thailand",778
"212","Timor",700
"213","Togo",718
"214","Tokelau",114
"215","Tonga",306
"216","Trinidad and Tobago",708
"217","Tunisia",718
"218","Turkey",711
"219","Turkmenistan",183
"220","Turks and Caicos Islands",694
"221","Tuvalu",179
"222","Uganda",701
"223","Ukraine",719
"224","United Arab Emirates",753
"225","United Kingdom",751
"226","United States",760
"227","Upper middle income",760
"228","Uruguay",709
"229","Uzbekistan",707
"230","Vanuatu",467
"231","Vatican",716
"232","Venezuela",708
"233","Vietnam",759
"234","Wallis and Futuna",489
"235","World",760
"236","Yemen",681
"237","Zambia",704
"238","Zimbabwe",702
"239","Sum",163090
