"","ctr_i","Min","Q1","Q2","Q3","Max","Avg","Std","Outlier"
"1",Zimbabwe,-6,14,57,216.25,9185,332.22792022792,848.151005258786,108
"2",Zambia,0,23,101,468.75,5555,441.784090909091,797.280472897379,91
"3",Yemen,-1,1,6,23,287,17.2261380323054,27.2211308151845,51
"4",World,0,234675,444274.5,627054,4234712,554993.602631579,644653.934843044,53
"5",Wallis and Futuna,0,0,0,0,47,0.928425357873211,4.44236656199811,49
"6",Vietnam,0,1,10,4758,54830,3610.39920948617,6917.64550707318,102
"7",Venezuela,0,245,590,1100.25,4418,721.120056497175,631.370116971211,15
"8",Vatican,0,0,0,0,7,0.0405027932960894,0.412777423547831,13
"9",Vanuatu,0,0,0,0,4,0.0235546038543897,0.239549377375233,6
"10",Uzbekistan,0,103.5,264,482,1478,332.479490806223,282.508518392006,15
"11",Uruguay,-21,18,167,901,13612,1145.79266572638,2286.65911917163,123
"12",Upper middle income,0,83473.75,131084.5,185080.5,887357,149846.890789474,137999.71201803,43
"13",United States,0,28520,56561,126105.5,1367651,103369.011857708,148772.385960238,41
"14",United Kingdom,-4860,2343.5,12123,35417.75,219290,23707.7386666667,32150.1020367432,43
"15",United Arab Emirates,0,304,1041,1803,4471,1160.53386454183,976.012753738756,1
"16",Ukraine,0,1101.5,3935,10082.5,45022,6847.95549374131,7990.94833800312,37
"17",Uganda,-104,19,76,214,21324,232.530670470756,866.131143641971,78
"18",Tuvalu,NA,NA,NA,NA,NA,NaN,NA,0
"19",Turks and Caicos Islands,-1,0,1,7,542,8.42363112391931,28.8286336647238,74
"20",Turkmenistan,NA,NA,NA,NA,NA,NaN,NA,0
"21",Turkey,0,1762.5,8531,25282,111157,17761.838028169,21790.0952266488,51
"22",Tunisia,0,19,662,1770,19923,1366.2649930265,2152.89798183365,49
"23",Trinidad and Tobago,0,5,51.5,258,1259,173.950564971751,237.889545850884,46
"24",Tonga,0,0,0,0,69,2.05263157894737,9.84377266448918,12
"25",Tokelau,NA,NA,NA,NA,NA,NaN,NA,0
"26",Togo,0,6,17,46,1002,51.2905027932961,99.5137378534493,92
"27",Timor,0,0,0,33.25,532,31.8771428571429,65.1615515698011,96
"28",Thailand,-18,6,142,5931.5,23418,3573.53227931489,5541.32496312135,52
"29",Tanzania,0,0,0,0,24307,47.7905982905983,926.185418637925,47
"30",Tajikistan,0,0,9.5,43,407,26.9439393939394,37.6892679579648,17
"31",Taiwan,-2,1,4,11,723,26.266139657444,83.1407256618208,109
"32",Syria,0,21,56,100,905,76.4671428571429,85.7619575807178,46
"33",Switzerland,0,15,483,2636,89462,3674.75034482759,9397.12934198027,87
"34",Sweden,0,0,351,1662,138985,3234.78771695594,10279.3846416647,135
"35",Suriname,0,7,40.5,119.25,1404,109.725988700565,187.495285529822,70
"36",Sudan,-13,0,5.5,111.5,1215,84.659604519774,157.260605719615,55
"37",Sri Lanka,0,14.5,521,952.5,11366,841.862251655629,1222.36051678284,82
"38",Spain,-74347,0,4088,12183,372766,14431.5380507343,36150.482498059,82
"39",South Sudan,0,0,4,19,503,24.6399416909621,56.25149555965,81
"40",South Korea,0,86.5,482,1537,109828,2586.08168642951,10108.6258086854,81
"41",South America,-4032,24769,57399,91690,484781,72737.3607681756,72377.2310569987,37
"42",South Africa,0,1049.5,2491,8089.5,37875,5081.71089385475,5693.8141688176,24
"43",Somalia,0,0,0,35,1066,37.1954674220963,92.6232743868949,96
"44",Solomon Islands,-3,0,0,0,681,11.4596774193548,65.7783728166088,37
"45",Slovenia,0,37,415,1342,23332,1221.40446304045,2447.22636828588,61
"46",Slovakia,0,48.75,724,3731.25,28504,2773.54608938547,4536.51566263287,53
"47",Sint Maarten (Dutch part),NA,NA,NA,NA,NA,NaN,NA,0
"48",Singapore,0,13,47,449.5,24836,759.361001317523,2243.8265566233,104
"49",Sierra Leone,0,0,4,13,192,11.0897250361795,18.6487920519466,66
"50",Seychelles,-3,0,0,57.5,2068,55.043847241867,167.436291384006,67
"51",Serbia,0,155,1288,3822,36737,2621.16643356643,3743.6671664577,32
"52",Senegal,0,17,58,134.5,1722,118.8125,179.925543584988,63
"53",Saudi Arabia,0,147,473.5,1293.5,5928,1025.45972222222,1248.07413078214,73
"54",Sao Tome and Principe,0,0,1,6,319,8.64963503649635,25.2453432799546,88
"55",San Marino,0,0,1,18,491,19.5941828254848,51.5496084347411,62
"56",Samoa,0,0,0,0,10,0.0718954248366013,0.621006808569009,12
"57",Saint Vincent and the Grenadines,-1544,0,0,6,2723,11.9943342776204,121.43444063407,109
"58",Saint Pierre and Miquelon,-2,0,0,0,155,1.52623906705539,8.8333333266413,75
"59",Saint Lucia,0,0,3.5,24,722,31.7344632768362,75.6634781274451,98
"60",Saint Kitts and Nevis,0,0,0,3,238,7.92395982783357,24.4885315015383,114
"61",Saint Helena,0,0,0,0,2,0.00753295668549906,0.106131532607864,3
"62",Rwanda,0,16,58,169,3072,182.724576271186,316.024508235257,114
"63",Russia,0,7552,13556,23530,202211,19945.8894806924,28359.9080849434,30
"64",Romania,0,325,1421,4441,40018,3663.35586206897,5603.41782714469,61
"65",Qatar,0,158,230,515,4206,490,668.28521737462,77
"66",Portugal,-161,400.5,889,3269.25,65706,4413.92916666667,10026.0331028477,83
"67",Poland,0,342.5,2009,12162.25,57659,7661.18105849582,10478.4295405005,30
"68",Pitcairn,NA,NA,NA,NA,NA,NaN,NA,0
"69",Philippines,-11,786,2186,6472,38867,4854.71808510638,6436.7968703162,63
"70",Peru,0,789,2404,5797.5,99645,4875.68156424581,8543.83078747644,54
"71",Paraguay,0,38,519,1080,25833,889.047619047619,1740.0488992101,51
"72",Papua New Guinea,-16,0,0,32.5,975,56.5428571428571,129.403162318965,130
"73",Panama,0,266,620,1036,19722,1053.63572433193,1866.52885213402,67
"74",Palestine,0,24.5,416.5,1081,30356,877.033519553073,1963.02683693097,27
