Countries,Infections,Deaths
Canada,14,1
Canada,154,3
Canada,82,2
Canada,200,5
Canada,254,4
Canada,478,4
Canada,392,3
Canada,555,7
Canada,585,5
Canada,498,13
Canada,867,12
Canada,698,7
Canada,837,17
Canada,930,15
Canada,1106,19
Canada,1125,35
Canada,1281,23
Canada,1692,49
Canada,1340,53
Canada,1347,83
Canada,1253,75
Canada,1362,67
Canada,1337,78
Canada,1296,89
Canada,1379,103
Canada,1244,95
Canada,1307,119
Canada,1219,109
Canada,1634,130
Canada,1626,136
Canada,1660,154
Canada,1688,136
Canada,2034,147
Canada,1410,139
Canada,1688,170
Canada,1669,144
Canada,1642,161
Canada,1814,164
Canada,1953,181
Canada,1855,174
Canada,1577,181
Canada,1313,137
Canada,1641,179
Canada,1671,207
Canada,1633,208
Canada,1697,213
Canada,1769,181
Canada,1544,176
Canada,1341,146
Canada,1407,206
Canada,1373,172
Canada,1573,172
Canada,1364,148
Canada,1378,158
Canada,1184,162
Canada,1064,128
Canada,1110,132
Canada,1217,143
Canada,1195,112
Canada,1117,122
Canada,1211,124
Canada,1184,115
Canada,1132,90
Canada,1033,95
Canada,1108,77
Canada,1253,118
Canada,1177,100
Canada,1115,103
Canada,946,93
Canada,1049,89
Canada,947,94
Canada,770,88
Canada,851,97
Canada,845,117
Canada,799,100
Canada,751,58
Canada,642,56
Canada,791,47
Canada,693,51
Canada,661,56
Canada,638,65
Canada,597,45
Canada,742,60
Canada,606,41
Canada,465,46
Canada,436,36
Canada,488,30
Canada,415,32
Canada,407,30
Canada,430,28
Canada,343,23
Canada,370,27
Canada,362,19
Canada,390,21
Canada,382,10
Canada,375,24
Canada,361,35
Canada,307,21
Canada,316,14
Canada,371,24
Canada,315,28
Canada,328,20
Canada,257,7
Canada,326,12
Canada,276,10
Canada,415,17
Canada,316,15
Canada,222,10
Canada,353,17
Canada,320,6
Canada,216,9
Canada,197,5
Canada,393,13
Canada,279,8
Canada,285,17
Canada,364,11
Canada,333,11
Canada,231,9
Canada,205,4
Canada,540,8
Canada,414,4
Canada,359,14
Canada,433,11
Canada,460,13
Canada,360,4
Canada,301,4
Canada,767,4
Canada,543,5
Canada,408,5
Canada,649,8
Canada,504,6
Canada,368,3
Canada,333,4
Canada,630,13
Canada,358,9
Canada,477,5
Canada,424,13
Canada,466,6
Canada,271,4
Canada,236,3
Canada,700,9
Canada,365,5
Canada,333,7
Canada,444,5
Canada,224,3
Canada,223,4
Canada,625,7
Canada,298,6
Canada,333,5
Canada,469,5
Canada,406,4
Canada,223,6
Canada,175,5
Canada,185,2
Canada,912,13
Canada,345,5
Canada,219,3
Canada,695,14
Canada,225,1
Canada,269,4
Canada,727,8
Canada,358,5
Canada,432,4
Canada,442,5
Canada,551,12
Canada,351,2
Canada,261,2
Canada,998,8
Canada,509,4
Canada,550,2
Canada,610,5
Canada,392,1
Canada,389,2
Canada,412,2
Canada,1445,7
Canada,420,4
Canada,900,8
Canada,789,-1
Canada,566,3
Canada,555,4
Canada,1352,12
Canada,822,7
Canada,944,5
Canada,972,7
Canada,1234,10
Canada,933,7
Canada,916,3
Canada,1658,11
Canada,1281,8
Canada,1307,9
Canada,1337,9
Canada,1616,7
Canada,1430,5
Canada,1408,6
Canada,2335,17
Canada,1819,14
Canada,1976,18
Canada,1801,16
Canada,2241,90
Canada,1860,52
Canada,1655,18
Canada,2458,25
