Countries,Infections,Deaths
Canada,1,
Canada,0,
Canada,1,
Canada,0,
Canada,0,
Canada,2,
Canada,0,
Canada,0,
Canada,0,
Canada,0,
Canada,1,
Canada,0,
Canada,2,
Canada,0,
Canada,0,
Canada,0,
Canada,0,
Canada,0,
Canada,0,
Canada,0,
Canada,0,
Canada,0,
Canada,1,
Canada,0,
Canada,0,
Canada,0,
Canada,1,
Canada,0,
Canada,0,
Canada,1,
Canada,2,
Canada,0,
Canada,2,
Canada,1,
Canada,6,
Canada,5,
Canada,6,
Canada,5,
Canada,5,
Canada,4,
Canada,14,
Canada,4,
Canada,10,
Canada,4,0
Canada,35,0
Canada,14,0
Canada,72,0
Canada,23,0
Canada,60,0
Canada,189,0
Canada,256,0
Canada,631,0
Greenland,1,
Greenland,0,
Greenland,0,
Greenland,1,
Greenland,0,
Greenland,0,
Greenland,2,
Greenland,0,
Greenland,1,
Greenland,1,
Greenland,0,
Greenland,4,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,1,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,1,
Greenland,0,
Greenland,0,
Greenland,1,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,1,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
Greenland,0,
